RUN_ID	SAMPLE_ID	PCT_PF_READS	PCT_Q30_R1	PCT_Q30_R2	COMPLETED_ALL_STEPS	FAILED_STEPS	STEPS_NOT_EXECUTED	CONTAMINATION_SCORE	CONTAMINATION_P_VALUE	MEDIAN_INSERT_SIZE	MEDIAN_EXON_COVERAGE	PCT_EXON_50X	USABLE_MSI_SITES	COVERAGE_MAD	MEDIAN_BIN_COUNT_CNV_TARGET	TOTAL_PF_READS	MEAN_FAMILY_SIZE	MEDIAN_TARGET_COVERAGE	PCT_CHIMERIC_READS	PCT_EXON_100X	PCT_READ_ENRICHMENT	PCT_USABLE_UMI_READS	MEAN_TARGET_COVERAGE	PCT_ALIGNED_READS	PCT_CONTAMINATION_EST	PCT_PF_UQ_READS	PCT_TARGET_0_4X_MEAN	PCT_TARGET_100X	PCT_TARGET_250X	MEDIAN_CV_GENE_500X	TOTAL_ON_TARGET_READS	PCT_ON_TARGET_READS	SCALED_MEDIAN_GENE_COVERAGE
LocalApp2_MetricsOutput	IPD2449-D01-R01-A09_P	81.2	94.4	93.4	TRUE	NA	NA	266	1.000	87	319	98.7	44	0.130	4.7	77267250	3.8	305.0	0.84	96.9	82.1	99.9	308.6	98.6	1.0	100.0	93.0	95.0	68.1	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2449-D01-R91-A09_P	81.2	94.4	93.4	TRUE	NA	NA	449	1.000	88	309	98.9	102	0.145	4.9	126664658	6.0	304.0	1.96	97.8	80.6	99.9	310.0	98.6	1.3	100.0	95.7	96.8	72.4	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2449-R03-R01-A09_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	102	NA	NA	NA	NA	NA	25073240	NA	NA	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.07	23579901	94.0	3968.0
LocalApp2_MetricsOutput	IPD2449-R03-R91-A09_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	113	NA	NA	NA	NA	NA	27307998	NA	NA	0.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.18	25983009	95.1	5283.4
LocalApp2_MetricsOutput	IPD2451-D01-X01-A03_P	81.2	94.4	93.4	TRUE	NA	NA	881	0.992	95	350	98.5	52	0.133	5.0	78685602	3.7	340.0	0.45	97.0	81.9	99.9	340.5	98.6	3.9	100.0	92.9	95.4	75.5	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2451-R03-X01-A03_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	113	NA	NA	NA	NA	NA	25506674	NA	NA	0.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.99	23869912	93.6	4506.5
LocalApp2_MetricsOutput	IPD2452-D01-p01-A25_P	81.2	94.4	93.4	TRUE	NA	NA	1744	0.674	97	359	99.1	77	0.154	5.2	94793550	3.9	358.0	1.47	97.9	80.5	99.9	383.7	97.4	4.5	100.0	92.7	96.8	78.3	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2452-R03-p01-A25_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	119	NA	NA	NA	NA	NA	29269982	NA	NA	0.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.41	27463235	93.8	5763.5
LocalApp2_MetricsOutput	IPD2453-D01-P01-AXX_P	81.2	94.4	93.4	TRUE	NA	NA	112	1.000	81	51	52.1	0	0.112	0.8	85070742	25.1	47.0	0.46	1.3	82.0	99.8	48.1	98.1	6.7	100.0	91.5	1.0	0.0	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2453-R03-P01-AXX_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	117	NA	NA	NA	NA	NA	29998096	NA	NA	0.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.77	28389134	94.6	6528.1
LocalApp2_MetricsOutput	IPD2454-D01-r01-AXX_P	81.2	94.4	93.4	TRUE	NA	NA	260	1.000	93	580	99.0	74	0.104	8.1	86797882	2.5	560.0	0.60	98.2	82.8	99.9	559.6	98.2	1.1	100.0	92.8	96.9	91.4	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2454-R03-r01-AXX_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	115	NA	NA	NA	NA	NA	28185908	NA	NA	0.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.90	25895501	91.9	5549.2
LocalApp2_MetricsOutput	IPD2455-D01-P01-A08_P	81.2	94.4	93.4	TRUE	NA	NA	2514	0.020	104	630	98.9	96	0.147	8.3	78550734	2.1	619.0	0.30	98.2	80.9	99.8	639.4	98.5	4.9	100.0	91.9	97.3	92.2	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2455-R03-P01-A08_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	118	NA	NA	NA	NA	NA	24637324	NA	NA	0.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.05	23320701	94.7	4051.5
LocalApp2_MetricsOutput	IPD2456-D01-P01-A08_P	81.2	94.4	93.4	TRUE	NA	NA	2001	0.155	103	592	99.2	96	0.110	7.8	96036240	2.7	571.0	0.54	98.5	80.4	99.9	588.6	97.9	2.1	100.0	92.9	97.6	92.1	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2456-R03-P01-A08_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	113	NA	NA	NA	NA	NA	24302770	NA	NA	0.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.46	22312183	91.8	4616.1
LocalApp2_MetricsOutput	IPD2459-D01-P01-A23_P	81.2	94.4	93.4	TRUE	NA	NA	505	1.000	90	430	99.0	87	0.146	6.3	89139370	3.3	419.0	1.01	98.1	82.2	99.9	425.8	98.5	1.2	100.0	94.1	97.1	86.1	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2459-R03-P01-A23_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	116	NA	NA	NA	NA	NA	25512164	NA	NA	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.13	23768216	93.2	4514.7
LocalApp2_MetricsOutput	IPD2465-D01-r01-A15_P	81.2	94.4	93.4	TRUE	NA	NA	37	1.000	108	649	99.3	103	0.101	8.5	141990856	3.8	627.0	1.01	98.7	80.2	99.9	647.3	98.5	0.4	100.0	94.1	98.3	94.4	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2465-R03-r01-A15_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	126	NA	NA	NA	NA	NA	29997580	NA	NA	0.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.89	28069173	93.6	5911.7
