TruSight Oncology 500 - Metrics Output																																		
For Research Use Only. Not for use in diagnostic procedures.																																		
																																		
[Header]																																		
Output Date	2025-04-06																																	
Output Time	05:30:45																																	
Workflow Version	ruo-2.2.0.12																																	
																																		
MEDIAN_BIN_COUNT_CNV_TARGET (Count)	1.0	NA	4.8	NA	6.6	6.7	NA	7.9	NA	7.3	NA	4.1	NA	6.0	NA	7.4	NA	6.5	NA	8.1	NA	6.8	NA	6.0	NA	5.3	NA	7.3	NA	5.6	NA	6.0	NA	NA
																																		
[DNA Expanded Metrics]																																		
Metric (UOM)	LSL Guideline	USL Guideline	IPD1693-D06-P02-A23_P	IPD1693-R03-P02-A23_P	IPD1712-D06-d11-A06_P	IPD1766-D06-P02-A03_P	IPD1766-R03-P02-A03_P	IPD1781-D06-P01-A12_P	IPD1781-R03-P01-A12_P	IPD1782-D06-P01-A15_P	IPD1782-R03-P01-A15_P	IPD1787-D06-d01-A18_P	IPD1787-R03-d01-A18_P	IPD1788-D06-P01-A04_P	IPD1788-R03-P01-A04_P	IPD1789-D06-d01-A09_P	IPD1789-R03-d01-A09_P	IPD1792-D06-P01-A15_P	IPD1792-R03-P01-A15_P	IPD1793-D06-R01-A18_P	IPD1793-R03-R01-A18_P	IPD1795-D06-R01-A15_P	IPD1795-R03-R01-A15_P	IPD1797-D06-P01-A08_P	IPD1797-R03-P01-A08_P	IPD1799-D06-P01-A23_P	IPD1799-R03-P01-A23_P	IPD1804-D06-P01-A16_P	IPD1804-R03-P01-A16_P	IPD1805-D06-d01-A23_P	IPD1805-R03-d01-A23_P	IPD1809-D06-d01-A23_P	IPD1809-R03-d01-A23_P	IPD1812-R03-P01-A08_P
TOTAL_PF_READS (Count)	NA	NA	115630584	NA	98203664	116299162	NA	113456464	NA	108917838	NA	51363616	NA	57759492	NA	94468238	NA	117478622	NA	102750676	NA	117945816	NA	78930454	NA	113783926	NA	93681180	NA	72965758	NA	76791704	NA	NA
MEAN_FAMILY_SIZE (Count)	NA	NA	4.0	NA	2.3	3.2	NA	2.8	NA	2.3	NA	2.0	NA	1.6	NA	2.3	NA	2.8	NA	2.4	NA	3.2	NA	2.6	NA	2.4	NA	2.4	NA	1.8	NA	1.9	NA	NA
MEDIAN_TARGET_COVERAGE (Count)	NA	NA	264.0	NA	482.0	451.0	NA	535.0	NA	498.0	NA	268.0	NA	465.0	NA	530.0	NA	481.0	NA	600.0	NA	478.0	NA	421.0	NA	360.0	NA	541.0	NA	420.0	NA	472.0	NA	NA
PCT_CHIMERIC_READS (%)	NA	NA	2.06	NA	0.75	0.99	NA	1.20	NA	1.76	NA	1.92	NA	0.88	NA	0.92	NA	1.03	NA	0.60	NA	0.70	NA	0.34	NA	3.50	NA	0.71	NA	1.22	NA	0.51	NA	NA
PCT_EXON_100X (%)	NA	NA	97.5	NA	98.4	98.6	NA	98.3	NA	98.8	NA	94.6	NA	97.5	NA	98.6	NA	98.8	NA	98.7	NA	98.6	NA	95.5	NA	98.9	NA	98.7	NA	98.2	NA	97.3	NA	NA
PCT_READ_ENRICHMENT (%)	NA	NA	60.3	NA	63.2	65.7	NA	67.5	NA	60.0	NA	59.9	NA	61.1	NA	68.0	NA	61.8	NA	71.7	NA	66.2	NA	63.7	NA	51.9	NA	69.0	NA	56.9	NA	58.9	NA	NA
PCT_USABLE_UMI_READS (%)	NA	NA	99.9	NA	99.9	99.9	NA	99.9	NA	99.9	NA	99.9	NA	99.8	NA	99.9	NA	99.9	NA	99.9	NA	99.9	NA	99.9	NA	99.9	NA	99.9	NA	99.8	NA	99.8	NA	NA
MEAN_TARGET_COVERAGE (Count)	NA	NA	262.5	NA	569.3	447.8	NA	536.1	NA	590.4	NA	294.7	NA	500.1	NA	548.5	NA	554.9	NA	678.4	NA	500.1	NA	401.4	NA	500.0	NA	568.0	NA	513.8	NA	507.7	NA	NA
